timestamp,context,query,params,result_rows,result_sample,duration_ms
2026-09-02T22:31:48.951153,get_chart,"SELECT trans_acc_id, trans_acc_desc, subsi_acc_id, subsi_acc_desc, trans_system_id     FROM (SELECT @system_id := %s p) parm, v_trans_accounts_m2     WHERE trans_acc_display = 1     ORDER BY SUBSTRING(trans_acc_id, 1, 1),              SUBSTRING(trans_acc_id, 1, 5),              acc_main_sort, sub_sort, acc_sort, trans_acc_id",[146],217,"[{'trans_acc_id': '1000100010001', 'trans_acc_desc': 'Bank of the west', 'subsi_acc_id': 100010001, 'subsi_acc_desc': 'Banks', 'trans_system_id': 146}, {'trans_acc_id': '1000100010002', 'trans_acc_desc': 'Bank of the Ozarks', 'subsi_acc_id': 100010001, 'subsi_acc_desc': 'Banks', 'trans_system_id': 146}, {'trans_acc_id': '1000100010003', 'trans_acc_desc': 'Bancorp South Bank', 'subsi_acc_id': 100010001, 'subsi_acc_desc': 'Banks', 'trans_system_id': 146}, {'trans_acc_id': '1000100010004', 'trans_a...",611.56
2026-09-02T22:31:53.540941,get_chart,"SELECT trans_acc_id, trans_acc_desc, subsi_acc_id, subsi_acc_desc, trans_system_id     FROM (SELECT @system_id := %s p) parm, v_trans_accounts_m2     WHERE trans_acc_display = 1     ORDER BY SUBSTRING(trans_acc_id, 1, 1),              SUBSTRING(trans_acc_id, 1, 5),              acc_main_sort, sub_sort, acc_sort, trans_acc_id",[146],217,"[{'trans_acc_id': '1000100010001', 'trans_acc_desc': 'Bank of the west', 'subsi_acc_id': 100010001, 'subsi_acc_desc': 'Banks', 'trans_system_id': 146}, {'trans_acc_id': '1000100010002', 'trans_acc_desc': 'Bank of the Ozarks', 'subsi_acc_id': 100010001, 'subsi_acc_desc': 'Banks', 'trans_system_id': 146}, {'trans_acc_id': '1000100010003', 'trans_acc_desc': 'Bancorp South Bank', 'subsi_acc_id': 100010001, 'subsi_acc_desc': 'Banks', 'trans_system_id': 146}, {'trans_acc_id': '1000100010004', 'trans_a...",511.16
2026-09-02T22:34:08.309574,find_party_candidates(Handy Fix LLC Ops@handyfix.com),"SELECT p_code, p_type, company_name, person_name, Phone, Email, p_account FROM acc_party WHERE status = 1 AND system_id = %s AND p_type = %s AND (LOWER(TRIM(company_name))=LOWER(TRIM(%s)) OR LOWER(TRIM(person_name))=LOWER(TRIM(%s)))","(146, 'P', 'Handy Fix LLC Ops@handyfix.com', 'Handy Fix LLC Ops@handyfix.com')",0,[],841.55
2026-09-02T22:34:08.525939,find_party_candidates(Handy Fix LLC Ops@handyfix.com),"SELECT p_code, p_type, company_name, person_name, Phone, Email, p_account FROM acc_party WHERE status = 1 AND system_id = %s AND p_type = %s AND (company_name LIKE %s OR person_name LIKE %s) LIMIT %s","(146, 'P', 'Handy Fix LLC Ops@handyfix.com%', 'Handy Fix LLC Ops@handyfix.com%', 50)",0,[],213.84
2026-09-02T22:34:08.756176,find_party_candidates(Handy Fix LLC Ops@handyfix.com),"SELECT p_code, p_type, company_name, person_name, Phone, Email, p_account FROM acc_party WHERE status = 1 AND system_id = %s AND p_type = %s AND (company_name LIKE %s OR person_name LIKE %s) LIMIT %s","(146, 'P', '%Handy Fix LLC Ops@handyfix.com%', '%Handy Fix LLC Ops@handyfix.com%', 50)",0,[],229.35
2026-09-02T22:34:09.018819,find_party_candidates(Handy Fix LLC Ops@handyfix.com),"SELECT p_code, p_type, company_name, person_name, Phone, Email, p_account FROM acc_party WHERE status = 1 AND system_id = %s AND p_type = %s AND (company_name LIKE %s OR person_name LIKE %s) LIMIT %s","(146, 'P', '%Handy%', '%Handy%', 50)",1,"[{'p_code': 2010100001, 'p_type': 'P', 'company_name': 'Handy Fix LLC', 'person_name': 'Handy Fix LLC', 'Phone': None, 'Email': None, 'p_account': None}]",260.51
2026-09-02T23:00:14.707255,fetch_voucher.master,"SELECT at_id, at_date, at_doc_type, at_desc, at_remarks, at_memo,        at_m_amount, at_party_code, at_bank, at_bank_acc, at_cheque_no,        at_cheque_date, at_status, at_cr_user, at_cr_date, at_up_user, at_up_date FROM acc_trans_m WHERE at_id = %s AND system_id = %s","['261203000154', 146]",1,"[{'at_id': 261203000154, 'at_date': datetime.datetime(2026, 6, 7, 0, 0), 'at_doc_type': '01', 'at_desc': 'Receipt Voucher', 'at_remarks': 'Healthcare Services', 'at_memo': 'Healthcare Services', 'at_m_amount': Decimal('500.00'), 'at_party_code': '2010300641', 'at_bank': 'Bank of Amerc', 'at_bank_acc': '100045001', 'at_cheque_no': None, 'at_cheque_date': None, 'at_status': '1', 'at_cr_user': '86', 'at_cr_date': datetime.datetime(2026, 9, 2, 18, 29, 43), 'at_up_user': '86', 'at_up_date': datetime....",1016.03
2026-09-02T23:00:15.202994,fetch_voucher.legs,"SELECT at_sno, at_acc_code, at_dc_type, at_amount, at_remarks, atd_date, atd_party FROM acc_trans_d WHERE at_id = %s AND at_system_id = %s ORDER BY at_sno","['261203000154', 146]",2,"[{'at_sno': 1, 'at_acc_code': 100045001, 'at_dc_type': 'D', 'at_amount': Decimal('500.00'), 'at_remarks': 'Healthcare Services', 'atd_date': datetime.date(2026, 6, 7), 'atd_party': '2010300641'}, {'at_sno': 2, 'at_acc_code': 35002, 'at_dc_type': 'C', 'at_amount': Decimal('-500.00'), 'at_remarks': 'Healthcare Services', 'atd_date': datetime.date(2026, 6, 7), 'atd_party': '2010300641'}]",494.74
2026-09-02T23:00:15.724498,fetch_voucher.reconciled,SELECT COUNT(*) AS n FROM acc_trans_reconcile WHERE at_id = %s AND at_system_id = %s AND at_acc_reconcile = 1,"['261203000154', 146]",1,[{'n': 0}],519.57
2026-09-02T23:00:16.345510,fetch_voucher.party,"SELECT p_code, p_type, company_name, person_name FROM acc_party WHERE p_code = %s AND system_id = %s LIMIT 1","['2010300641', 146]",1,"[{'p_code': 2010300641, 'p_type': 'C', 'company_name': 'Medicare', 'person_name': 'Medicare'}]",620.01
